vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 173124 14924004  29388 282752    1    1     1     1    1    1  0  0 100  0  0
 0  0 173124 14925188  29388 282752    0    0     0     0  201 1418  1  0 99  0  0
 0  0 173124 14923548  29388 282756    0    0     0     0  294 1938  1  0 99  0  0
 0  0 173124 14924260  29388 282756    0    0     0     0  110  321  0  0 100  0  0
 0  0 173124 14924276  29388 282756    0    0     0     0   81  183  0  0 100  0  0
 0  0 173124 14924228  29388 282756    0    0     0     0   72  169  0  0 100  0  0
 0  0 173124 14924228  29396 282748    0    0     0    36  122  365  0  0 100  0  0
 0  0 173124 14926572  29396 282748    0    0     0     0  114  359  0  0 100  0  0
 0  0 173124 14926568  29396 282748    0    0     0     0   86  277  0  0 100  0  0
 0  0 173124 14926428  29396 282748    0    0     0     0   73  171  0  0 100  0  0
 0  0 173124 14926292  29396 282760    0    0     0     8  249  679  0  0 99  0  0
 0  0 173124 14926324  29404 282752    0    0     0    64  164  325  0  0 100  0  0
 0  0 173124 14926216  29404 282760    0    0     0    60  110  341  0  0 100  0  0
 0  0 173124 14926252  29404 282752    0    0     0     0   74  166  0  0 100  0  0
 0  0 173124 14926220  29404 282752    0    0     0     0   90  199  0  0 100  0  0
 0  0 173124 14926216  29404 282756    0    0     0     0  114  227  0  0 100  0  0
 0  0 173124 14926200  29404 282756    0    0     0     0   84  165  0  0 100  0  0
 0  0 173124 14926216  29412 282752    0    0     0    16  122  291  0  0 100  0  0
 1  0 173124 14926200  29412 282760    0    0     0    12   94  214  0  0 100  0  0
 0  0 173124 14926184  29412 282760    0    0     0     0   86  197  0  0 100  0  0
 0  0 173124 14926168  29412 282760    0    0     0     0  181  366  0  0 100  0  0
 0  0 173124 14926152  29412 282760    0    0     0     0   87  197  0  0 100  0  0
 0  0 173124 14926168  29412 282760    0    0     0     0   98  206  0  0 100  0  0
 0  0 173124 14926152  29420 282760    0    0     0    16   87  198  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 173124 14926152  29420 282760    0    0     0    12   84  207  0  0 100  0  0
 0  0 173124 14926896  29420 282760    0    0     0     0  106  267  0  0 100  0  0
 0  0 173124 14926880  29420 282760    0    0     0     0  104  219  0  0 100  0  0
 0  0 173124 14926896  29420 282760    0    0     0     0   93  209  0  0 100  0  0
 1  0 173124 14743484  29420 282760    0    0     0     0  682  264  7  0 93  0  0
